simulation,finalist_1,finalist_2,champion
1037,France,Argentina,Argentina
1038,Portugal,Argentina,Argentina
1039,France,Argentina,Argentina
1040,France,Portugal,France
1041,France,England,France
1042,France,Argentina,France
1043,France,Argentina,France
1044,France,Argentina,Argentina
1045,France,Argentina,Argentina
1046,Belgium,Argentina,Argentina
1047,Spain,Argentina,Spain
1048,France,England,France
1049,Morocco,France,France
1050,Belgium,Argentina,Argentina
1051,France,Argentina,Argentina
1052,England,Argentina,Argentina
1053,France,Argentina,Argentina
1054,Belgium,Argentina,Argentina
1055,France,Argentina,France
1056,Spain,England,Spain
1057,France,England,France
1058,Croatia,Portugal,Portugal
1059,Spain,Argentina,Spain
1060,France,Argentina,Argentina
1061,Spain,Argentina,Spain
1062,France,Argentina,France
1063,France,Argentina,France
1064,France,Portugal,France
1065,France,Argentina,Argentina
1066,England,Croatia,Croatia
1067,France,Brazil,France
1068,Spain,Argentina,Argentina
1069,France,Brazil,France
1070,Spain,England,Spain
1071,Spain,Argentina,Argentina
1072,France,Spain,France
1073,France,England,France
1074,Spain,Argentina,Argentina
1075,France,Argentina,Argentina
1076,France,Portugal,France
1077,Morocco,Argentina,Argentina
1078,France,England,England
1079,Argentina,England,England
1080,Spain,Argentina,Argentina
1081,France,Argentina,Argentina
1082,Brazil,Portugal,Portugal
1083,France,Argentina,France
1084,France,England,England
1085,France,England,England
1086,France,England,France
1087,Spain,Argentina,Argentina
1088,Croatia,Argentina,Argentina
1089,France,England,France
1090,Spain,Croatia,Spain
1091,France,Japan,France
1092,Spain,England,England
1093,England,Argentina,Argentina
1094,France,Argentina,France
1095,France,Belgium,Belgium
1096,Germany,France,France
1097,France,Brazil,Brazil
1098,Brazil,Argentina,Argentina
1099,Spain,Brazil,Brazil
1100,Spain,Argentina,Spain
1101,Spain,Argentina,Spain
1102,France,Croatia,Croatia
1103,Spain,France,France
1104,France,Brazil,France
1105,France,Brazil,France
1106,Spain,Brazil,Brazil
1107,France,England,England
1108,Netherlands,Argentina,Argentina
1109,France,England,France
1110,Spain,Argentina,Argentina
1111,Spain,Argentina,Spain
1112,France,Argentina,Argentina
1113,England,Argentina,Argentina
1114,France,Argentina,France
1115,Spain,England,Spain
1116,Belgium,Argentina,Belgium
1117,France,Switzerland,France
1118,France,Brazil,France
1119,Argentina,Brazil,Brazil
1120,France,Brazil,France
1121,France,Argentina,France
1122,France,Argentina,France
1123,Spain,Brazil,Spain
1124,France,Netherlands,France
1125,France,Brazil,France
1126,Spain,Morocco,Spain
1127,Spain,England,Spain
1128,Netherlands,Spain,Spain
1129,France,Argentina,Argentina
1130,Germany,Argentina,Germany
1131,England,Brazil,England
1132,France,Argentina,France
1133,Spain,England,Spain
1134,France,Argentina,France
1135,Spain,Argentina,Spain
1136,France,Argentina,France
1137,France,Argentina,France
1138,France,England,England
1139,Spain,Portugal,Spain
1140,France,Argentina,France
1141,Spain,Argentina,Argentina
1142,France,Argentina,Argentina
1143,France,Argentina,France
1144,France,Switzerland,France
1145,France,Argentina,Argentina
1146,Spain,Portugal,Portugal
1147,France,Argentina,Argentina
1148,Belgium,Argentina,Argentina
1149,France,Argentina,France
1150,Spain,Argentina,Argentina
1151,France,England,France
1152,France,Brazil,France
1153,France,Argentina,Argentina
1154,France,England,France
1155,England,Portugal,Portugal
1156,Spain,Argentina,Spain
1157,France,Argentina,Argentina
1158,France,Argentina,Argentina
1159,France,Argentina,France
1160,Spain,Argentina,Argentina
1161,France,Argentina,Argentina
1162,Argentina,England,Argentina
1163,France,Croatia,France
1164,France,Argentina,Argentina
1165,Netherlands,Argentina,Argentina
1166,France,Spain,France
1167,Spain,Argentina,Argentina
1168,France,Croatia,France
1169,Belgium,Argentina,Argentina
1170,France,Argentina,France
1171,France,Morocco,Morocco
1172,England,Croatia,Croatia
1173,France,England,France
1174,France,Argentina,France
1175,France,Argentina,France
1176,Spain,Portugal,Portugal
1177,Belgium,Netherlands,Belgium
1178,France,Argentina,France
1179,Morocco,Argentina,Argentina
1180,Spain,Croatia,Croatia
1181,France,England,France
1182,France,Argentina,Argentina
1183,Spain,Argentina,Argentina
1184,France,Brazil,France
1185,France,Argentina,Argentina
1186,England,Morocco,Morocco
1187,France,Argentina,France
1188,France,Portugal,France
1189,Spain,Argentina,Argentina
1190,Spain,Argentina,Argentina
1191,France,Argentina,France
1192,Spain,Argentina,Spain
1193,France,England,France
1194,France,Argentina,France
1195,France,Argentina,Argentina
1196,France,Argentina,France
1197,France,Argentina,Argentina
1198,France,England,France
1199,France,Argentina,Argentina
1200,Netherlands,Argentina,Argentina
1201,France,England,England
1202,Colombia,Argentina,Argentina
1203,France,England,France
1204,Spain,Argentina,Spain
1205,France,Argentina,France
1206,Spain,France,Spain
1207,France,Argentina,Argentina
1208,Spain,Argentina,Argentina
1209,France,Argentina,Argentina
1210,France,Argentina,France
1211,France,Mexico,France
1212,France,Portugal,Portugal
1213,France,Morocco,France
1214,Spain,Argentina,Argentina
1215,France,England,France
1216,Spain,Argentina,Spain
1217,Spain,Argentina,Argentina
1218,Brazil,Argentina,Argentina
1219,France,Brazil,France
1220,France,Argentina,Argentina
1221,Spain,England,Spain
1222,France,Portugal,France
1223,Belgium,England,England
1224,France,Argentina,France
1225,Spain,Argentina,Argentina
1226,France,Argentina,Argentina
1227,Spain,Argentina,Argentina
1228,France,Argentina,France
1229,France,Argentina,France
1230,Belgium,Portugal,Portugal
1231,France,Argentina,France
1232,Spain,Argentina,Argentina
1233,France,England,England
1234,France,Argentina,France
1235,France,Argentina,Argentina
1236,France,Portugal,France
1237,France,Argentina,France
1238,United States,England,England
1239,France,Argentina,France
1240,France,Switzerland,France
1241,France,Argentina,France
1242,France,Argentina,France
1243,France,Argentina,France
1244,France,Argentina,France
1245,Morocco,Argentina,Argentina
1246,France,England,France
1247,Morocco,Argentina,Morocco
1248,Netherlands,Morocco,Morocco
1249,France,Croatia,Croatia
1250,Spain,Iran,Spain
1251,France,Argentina,Argentina
1252,Netherlands,Argentina,Netherlands
1253,France,Argentina,Argentina
1254,Spain,Portugal,Spain
1255,France,Argentina,Argentina
1256,Spain,Argentina,Spain
1257,France,Argentina,France
1258,France,Argentina,Argentina
1259,Spain,Argentina,Spain
1260,France,Argentina,France
1261,Spain,England,England
1262,France,England,England
1263,Spain,England,Spain
1264,Spain,Argentina,Argentina
1265,France,Croatia,France
1266,France,Argentina,Argentina
1267,France,Argentina,Argentina
1268,France,Netherlands,Netherlands
1269,England,Croatia,Croatia
1270,France,Argentina,France
1271,Uruguay,Argentina,Argentina
1272,Belgium,Argentina,Argentina
1273,Spain,Argentina,Spain
1274,France,Morocco,France
1275,France,England,France
1276,Uruguay,Argentina,Uruguay
1277,France,Argentina,France
1278,France,England,France
1279,France,England,France
1280,France,Croatia,France
1281,Spain,Portugal,Spain
1282,France,Argentina,France
1283,France,Spain,France
1284,France,Argentina,Argentina
1285,France,Portugal,France
1286,France,Argentina,France
1287,France,Argentina,France
1288,France,Argentina,Argentina
1289,France,Brazil,France
1290,Brazil,Argentina,Argentina
1291,France,Argentina,France
1292,France,Brazil,France
1293,France,Argentina,Argentina
1294,Morocco,Argentina,Morocco
1295,Brazil,Morocco,Morocco
1296,France,Argentina,Argentina
1297,France,Argentina,Argentina
1298,Spain,Argentina,Argentina
1299,France,Argentina,Argentina
1300,France,Argentina,France
1301,France,England,France
1302,Spain,Brazil,Spain
1303,Mexico,Argentina,Argentina
1304,France,Argentina,France
1305,France,Argentina,France
1306,Spain,Argentina,Argentina
1307,Belgium,Mexico,Belgium
1308,Spain,Argentina,Argentina
1309,Spain,England,Spain
1310,France,Mexico,France
1311,France,Morocco,Morocco
1312,France,Argentina,Argentina
1313,Belgium,Argentina,Argentina
1314,France,Argentina,Argentina
1315,Spain,Portugal,Spain
1316,France,Morocco,France
1317,Spain,Portugal,Spain
1318,France,Argentina,France
1319,Spain,Argentina,Argentina
1320,France,Argentina,France
1321,France,Argentina,Argentina
1322,France,Argentina,Argentina
1323,France,Spain,France
1324,France,Argentina,France
1325,France,Argentina,France
1326,France,Argentina,France
1327,France,Argentina,France
1328,France,Portugal,France
1329,France,Brazil,France
1330,France,Argentina,France
1331,France,Argentina,Argentina
1332,Spain,Argentina,Argentina
1333,Spain,Argentina,Argentina
1334,Germany,Argentina,Argentina
1335,Spain,Argentina,Argentina
1336,France,Argentina,Argentina
1337,France,England,France
1338,France,England,France
1339,France,Brazil,Brazil
1340,France,England,France
1341,France,England,England
1342,Spain,Portugal,Spain
1343,Brazil,Argentina,Argentina
1344,France,Argentina,France
1345,France,Argentina,Argentina
1346,Netherlands,England,England
1347,Spain,Argentina,Spain
1348,Spain,Argentina,Argentina
1349,Brazil,Argentina,Argentina
1350,France,Argentina,Argentina
1351,France,Argentina,Argentina
1352,France,Argentina,France
1353,France,Argentina,France
1354,Croatia,Brazil,Croatia
1355,Spain,Argentina,Argentina
1356,Morocco,England,England
1357,Morocco,Argentina,Argentina
1358,Spain,Argentina,Argentina
1359,Spain,Brazil,Brazil
1360,France,Argentina,Argentina
1361,France,Argentina,Argentina
1362,Brazil,Morocco,Brazil
1363,Croatia,Portugal,Portugal
1364,France,Argentina,Argentina
1365,England,Argentina,Argentina
1366,France,Argentina,France
1367,Spain,Argentina,Spain
1368,France,England,France
1369,Spain,Portugal,Spain
1370,France,Argentina,France
1371,France,Argentina,France
1372,Spain,Portugal,Spain
1373,France,Brazil,Brazil
1374,France,Croatia,France
1375,France,Argentina,France
1376,France,Croatia,France
1377,Spain,Argentina,Spain
1378,Spain,Argentina,Spain
1379,Spain,Argentina,Argentina
1380,France,Argentina,France
1381,France,England,France
1382,France,Brazil,France
1383,Morocco,Argentina,Argentina
1384,England,Argentina,Argentina
1385,France,Portugal,France
1386,France,Argentina,Argentina
1387,France,Argentina,Argentina
1388,Spain,Argentina,Spain
1389,Belgium,Spain,Spain
1390,France,Portugal,Portugal
1391,France,Portugal,France
1392,Morocco,Argentina,Argentina
1393,Germany,Argentina,Argentina
1394,France,Argentina,France
1395,Netherlands,Portugal,Portugal
1396,Spain,France,France
1397,France,Morocco,France
1398,Spain,Argentina,Spain
1399,Spain,Argentina,Argentina
1400,Spain,Argentina,Argentina
1401,France,Argentina,Argentina
1402,Morocco,Argentina,Argentina
1403,France,England,France
1404,France,Argentina,Argentina
1405,Spain,England,Spain
1406,France,Germany,France
1407,England,Croatia,Croatia
1408,France,Argentina,France
1409,France,Argentina,Argentina
1410,France,Argentina,Argentina
1411,France,Argentina,Argentina
1412,Brazil,Argentina,Argentina
1413,Spain,Argentina,Argentina
1414,Argentina,Portugal,Argentina
1415,Germany,Argentina,Germany
1416,Germany,Argentina,Argentina
1417,France,Argentina,Argentina
1418,France,Argentina,Argentina
1419,England,Argentina,Argentina
1420,Spain,France,France
1421,Germany,Spain,Spain
1422,Netherlands,Argentina,Argentina
1423,Netherlands,Brazil,Brazil
1424,France,England,France
1425,France,England,England
1426,France,Brazil,France
1427,France,Argentina,Argentina
1428,France,Argentina,Argentina
1429,Uruguay,Spain,Spain
1430,France,Argentina,France
1431,France,Portugal,France
1432,France,England,France
1433,Spain,England,England
1434,Spain,Argentina,Argentina
1435,France,Argentina,France
1436,Spain,England,Spain
1437,France,Argentina,Argentina
1438,Germany,Brazil,Brazil
1439,France,England,France
1440,Spain,Argentina,Argentina
1441,France,Argentina,Argentina
1442,France,Spain,Spain
1443,England,Argentina,Argentina
1444,Spain,Argentina,Spain
1445,France,Croatia,Croatia
1446,France,Belgium,France
1447,Germany,England,England
1448,France,Uruguay,France
1449,Spain,Argentina,Argentina
1450,France,Argentina,Argentina
1451,France,Argentina,Argentina
1452,Spain,Argentina,Spain
1453,Spain,Argentina,Argentina
1454,Spain,Argentina,Argentina
1455,Brazil,Argentina,Argentina
1456,France,Argentina,France
1457,Spain,England,Spain
1458,France,England,France
1459,France,Argentina,France
1460,France,Argentina,France
1461,France,Argentina,France
1462,France,Spain,France
1463,France,Argentina,France
1464,Spain,Argentina,Argentina
1465,Morocco,Argentina,Argentina
1466,Netherlands,Argentina,Argentina
1467,Spain,Portugal,Spain
1468,Belgium,Argentina,Argentina
1469,England,Argentina,England
1470,France,England,France
1471,France,Argentina,Argentina
1472,Argentina,Brazil,Brazil
1473,Netherlands,Argentina,Argentina
1474,Spain,England,Spain
1475,France,Brazil,Brazil
1476,Morocco,Portugal,Morocco
1477,France,Brazil,Brazil
1478,France,Argentina,Argentina
1479,France,Argentina,France
1480,France,Argentina,France
1481,France,Argentina,France
1482,England,Portugal,England
1483,France,Argentina,Argentina
1484,Brazil,Argentina,Brazil
1485,Spain,Brazil,Brazil
1486,Spain,Argentina,Argentina
1487,Germany,England,England
1488,France,Argentina,Argentina
1489,England,Argentina,England
1490,Spain,Argentina,Spain
1491,Morocco,Argentina,Argentina
1492,Germany,Argentina,Argentina
1493,Spain,Argentina,Argentina
1494,Spain,Argentina,Spain
1495,France,Argentina,Argentina
1496,France,Argentina,France
1497,Germany,Argentina,Argentina
1498,France,Argentina,Argentina
1499,France,England,France
1500,France,Brazil,Brazil
1501,Spain,Argentina,Argentina
1502,France,Brazil,Brazil
1503,Netherlands,Argentina,Argentina
1504,France,Argentina,France
1505,Belgium,Mexico,Mexico
1506,France,England,France
1507,Netherlands,Portugal,Netherlands
1508,Netherlands,Argentina,Netherlands
1509,France,England,France
1510,Spain,Argentina,Argentina
1511,France,Netherlands,France
1512,France,Argentina,Argentina
1513,France,Spain,France
1514,Spain,England,England
1515,Spain,Argentina,Argentina
1516,France,Portugal,France
1517,France,Argentina,Argentina
1518,England,Croatia,England
1519,Spain,Argentina,Spain
1520,France,Argentina,France
1521,France,Brazil,France
1522,Morocco,Argentina,Argentina
1523,England,Argentina,Argentina
1524,France,Argentina,France
1525,Netherlands,Argentina,Argentina
1526,Spain,Portugal,Portugal
1527,France,Argentina,France
1528,France,Argentina,Argentina
1529,Spain,Brazil,Spain
1530,France,Argentina,Argentina
1531,France,England,France
1532,France,Brazil,France
1533,Spain,Brazil,Spain
1534,Netherlands,Brazil,Brazil
1535,Spain,Argentina,Argentina
1536,Belgium,Argentina,Argentina
1537,Belgium,Argentina,Argentina
1538,France,England,France
1539,France,Brazil,France
1540,Spain,Argentina,Argentina
1541,France,Argentina,France
1542,Brazil,Argentina,Argentina
1543,France,Argentina,France
1544,France,Croatia,France
1545,France,England,England
1546,Spain,Argentina,Argentina
1547,France,Argentina,France
1548,France,Argentina,France
1549,France,Argentina,France
1550,Spain,England,England
1551,Spain,Argentina,Argentina
1552,England,Argentina,England
1553,France,Brazil,France
1554,France,Argentina,France
1555,France,Argentina,Argentina
1556,France,Argentina,Argentina
1557,France,Morocco,France
1558,Morocco,Brazil,Brazil
1559,France,Argentina,France
1560,France,England,France
1561,Spain,Argentina,Spain
1562,Brazil,Argentina,Argentina
1563,France,Argentina,Argentina
1564,Germany,England,Germany
1565,France,Argentina,France
1566,Spain,Brazil,Brazil
1567,France,Argentina,France
1568,France,Brazil,Brazil
1569,Morocco,Portugal,Portugal
1570,France,Argentina,Argentina
1571,France,Argentina,France
1572,France,Spain,France
1573,France,Argentina,France
1574,England,Argentina,Argentina
1575,France,Argentina,Argentina
1576,France,Argentina,France
1577,France,Brazil,Brazil
1578,France,Argentina,France
1579,Belgium,Brazil,Brazil
1580,France,Argentina,Argentina
1581,Spain,Argentina,Spain
1582,France,Argentina,Argentina
1583,France,Argentina,France
1584,France,Argentina,Argentina
1585,Spain,England,England
1586,Spain,England,Spain
1587,France,England,France
1588,Netherlands,Argentina,Netherlands
1589,France,Argentina,France
1590,Spain,England,England
1591,France,England,France
1592,Spain,Argentina,Spain
1593,France,Spain,Spain
1594,Belgium,Argentina,Argentina
1595,England,Argentina,England
1596,Netherlands,Argentina,Argentina
1597,France,Portugal,France
1598,Croatia,Netherlands,Croatia
1599,France,Belgium,France
1600,Spain,Brazil,Spain
1601,France,Argentina,Argentina
1602,France,Argentina,France
1603,Belgium,Argentina,Argentina
1604,France,Argentina,France
1605,France,Brazil,Brazil
1606,France,Argentina,France
1607,France,Argentina,France
1608,France,Brazil,France
1609,Spain,France,France
1610,France,Argentina,France
1611,Belgium,France,France
1612,France,Croatia,France
1613,Croatia,England,England
1614,France,Portugal,France
1615,France,Argentina,Argentina
1616,France,Argentina,France
1617,Spain,Portugal,Portugal
1618,France,Brazil,France
1619,Spain,Argentina,Argentina
1620,France,Brazil,France
1621,Spain,Uruguay,Spain
1622,France,Argentina,France
1623,France,Netherlands,France
1624,France,Portugal,France
1625,France,England,France
1626,Croatia,Brazil,Brazil
1627,Brazil,Argentina,Argentina
1628,France,Argentina,Argentina
1629,Portugal,Argentina,Argentina
1630,France,Argentina,France
1631,France,Argentina,Argentina
1632,France,Argentina,Argentina
1633,France,Portugal,France
1634,France,Argentina,France
1635,France,Argentina,Argentina
1636,Belgium,Argentina,Argentina
1637,France,Argentina,Argentina
1638,Spain,Argentina,Spain
1639,Spain,Argentina,Argentina
1640,France,Argentina,France
1641,Germany,Spain,Spain
1642,France,Argentina,Argentina
1643,Spain,Argentina,Argentina
1644,France,Germany,France
1645,France,Argentina,France
1646,France,England,France
1647,France,Brazil,France
1648,England,Uruguay,England
1649,France,Croatia,France
1650,Belgium,Argentina,Belgium
1651,France,England,France
1652,Spain,Argentina,Spain
1653,France,Argentina,Argentina
1654,France,Argentina,France
1655,France,Argentina,Argentina
1656,France,England,France
1657,France,Brazil,France
1658,Belgium,Argentina,Belgium
1659,France,Argentina,France
1660,Brazil,Spain,Brazil
1661,Spain,Argentina,Spain
1662,Brazil,Argentina,Argentina
1663,France,Argentina,France
1664,France,Argentina,Argentina
1665,Brazil,Argentina,Brazil
1666,Spain,England,Spain
1667,France,Uruguay,France
1668,France,Brazil,France
1669,Spain,Argentina,Argentina
1670,France,Portugal,France
1671,Morocco,England,England
1672,Belgium,Brazil,Belgium
1673,France,Argentina,Argentina
1674,France,Spain,France
1675,Spain,Portugal,Spain
1676,Brazil,Argentina,Argentina
1677,Spain,Japan,Spain
1678,France,Argentina,France
1679,Spain,Argentina,Argentina
1680,France,Argentina,France
1681,France,Argentina,France
1682,Spain,Argentina,Argentina
1683,Spain,Brazil,Spain
1684,France,Argentina,Argentina
1685,Spain,Croatia,Spain
1686,Spain,Argentina,Argentina
1687,Spain,Argentina,Argentina
1688,Spain,Brazil,Spain
1689,Portugal,United States,Portugal
1690,Morocco,Argentina,Argentina
1691,France,Argentina,Argentina
1692,France,Portugal,France
1693,France,Argentina,Argentina
1694,France,Argentina,Argentina
1695,France,Argentina,Argentina
1696,Spain,Argentina,Argentina
1697,Spain,Argentina,Argentina
1698,France,Uruguay,France
1699,France,Uruguay,France
1700,France,Argentina,Argentina
1701,France,Portugal,France
1702,Spain,Argentina,Argentina
1703,Brazil,Portugal,Brazil
1704,Spain,Brazil,Brazil
1705,Netherlands,Brazil,Brazil
1706,Spain,Argentina,Argentina
1707,France,Argentina,France
1708,Spain,Argentina,Argentina
1709,France,Brazil,France
1710,France,Argentina,France
1711,Germany,Argentina,Argentina
1712,France,Argentina,Argentina
1713,France,Argentina,France
1714,France,Brazil,France
1715,England,Argentina,Argentina
1716,France,Argentina,France
1717,France,Argentina,Argentina
1718,Belgium,England,England
1719,France,Argentina,France
1720,Spain,Argentina,Spain
1721,France,Argentina,Argentina
1722,France,Argentina,France
1723,Belgium,England,England
1724,France,Argentina,France
1725,France,Argentina,Argentina
1726,France,Argentina,France
1727,France,Argentina,Argentina
1728,Argentina,England,Argentina
1729,Spain,Morocco,Morocco
1730,Spain,Argentina,Spain
1731,France,Brazil,Brazil
1732,France,England,France
1733,Germany,Morocco,Germany
1734,Spain,France,Spain
1735,France,Mexico,France
1736,France,England,France
1737,France,Argentina,France
1738,France,Brazil,France
1739,Spain,Argentina,Spain
1740,France,Morocco,France
1741,France,England,France
1742,France,Argentina,Argentina
1743,France,Argentina,Argentina
1744,France,Argentina,Argentina
1745,France,Argentina,France
1746,Spain,Argentina,Argentina
1747,France,Argentina,Argentina
1748,Spain,Argentina,Spain
1749,Belgium,England,Belgium
1750,France,Argentina,France
1751,France,Argentina,France
1752,France,Brazil,France
1753,France,Argentina,Argentina
1754,France,Argentina,France
1755,France,Argentina,France
1756,France,Argentina,France
1757,France,Brazil,France
1758,Belgium,Argentina,Argentina
1759,France,England,France
1760,Netherlands,Argentina,Netherlands
1761,Spain,Argentina,Argentina
1762,Spain,Argentina,Spain
1763,France,Brazil,France
1764,France,Croatia,France
1765,Spain,Brazil,Spain
1766,Spain,Argentina,Argentina
1767,Belgium,Argentina,Argentina
1768,Spain,Argentina,Argentina
1769,France,Argentina,France
1770,England,Croatia,Croatia
1771,Spain,Argentina,Spain
1772,France,Uruguay,France
1773,Belgium,Portugal,Belgium
1774,Spain,Argentina,Spain
1775,France,Senegal,France
1776,Belgium,Brazil,Brazil
1777,France,Argentina,France
1778,Spain,Brazil,Spain
1779,France,Argentina,Argentina
1780,France,Morocco,France
1781,Germany,Argentina,Argentina
1782,Croatia,Argentina,Argentina
1783,France,Argentina,France
1784,Spain,Brazil,Brazil
1785,France,Argentina,France
1786,Spain,Argentina,Spain
1787,France,Brazil,France
1788,Croatia,England,England
1789,England,Argentina,Argentina
1790,Spain,Argentina,Argentina
1791,France,Argentina,France
1792,Spain,Argentina,Spain
1793,France,Portugal,France
1794,France,Argentina,Argentina
1795,France,Spain,France
1796,Spain,Argentina,Argentina
1797,Germany,Argentina,Argentina
1798,France,Argentina,Argentina
1799,Spain,Argentina,Argentina
1800,Spain,Portugal,Spain
1801,Spain,Argentina,Spain
1802,Spain,England,Spain
1803,France,Argentina,France
1804,France,Argentina,Argentina
1805,France,England,France
1806,France,Brazil,France
1807,France,England,England
1808,Spain,Morocco,Spain
1809,France,Germany,France
1810,France,Argentina,France
1811,Argentina,Portugal,Argentina
1812,Belgium,England,Belgium
1813,Netherlands,Argentina,Argentina
1814,France,Argentina,Argentina
1815,Netherlands,Brazil,Netherlands
1816,Spain,Argentina,Argentina
1817,Brazil,Argentina,Argentina
1818,France,Spain,Spain
1819,Spain,France,France
1820,Spain,Portugal,Spain
1821,France,Argentina,Argentina
1822,France,Argentina,Argentina
1823,France,Spain,France
1824,France,Argentina,Argentina
1825,France,Portugal,France
1826,Spain,Argentina,Argentina
1827,Brazil,Argentina,Argentina
1828,France,England,France
1829,France,Brazil,France
1830,Belgium,Brazil,Belgium
1831,France,England,France
1832,France,Argentina,France
1833,France,England,England
1834,France,Argentina,Argentina
1835,France,Argentina,Argentina
1836,Spain,England,England
1837,Germany,Spain,Spain
1838,Portugal,Argentina,Argentina
1839,France,Brazil,France
1840,Brazil,Argentina,Argentina
1841,France,Spain,France
1842,France,Brazil,France
1843,France,Argentina,Argentina
1844,Spain,Argentina,Spain
1845,Spain,Argentina,Spain
1846,Spain,Argentina,Argentina
1847,Netherlands,Argentina,Argentina
1848,France,Argentina,France
1849,Spain,Argentina,Argentina
1850,Brazil,Argentina,Argentina
1851,Germany,Morocco,Germany
1852,France,Spain,France
1853,France,Argentina,Argentina
1854,Spain,Morocco,Spain
1855,Spain,Portugal,Portugal
1856,France,Argentina,Argentina
1857,Spain,Argentina,Argentina
1858,Spain,Brazil,Spain
1859,France,Argentina,Argentina
1860,France,Argentina,Argentina
1861,Belgium,Argentina,Argentina
1862,Morocco,Argentina,Argentina
1863,Spain,England,England
1864,France,Argentina,France
1865,Spain,Argentina,Argentina
1866,France,Argentina,Argentina
1867,France,Argentina,Argentina
1868,France,Argentina,France
1869,Netherlands,Spain,Netherlands
1870,France,Uruguay,France
1871,Spain,Argentina,Argentina
1872,France,Brazil,France
1873,England,Croatia,England
1874,Spain,Argentina,Argentina
1875,France,Argentina,Argentina
1876,Spain,Argentina,Argentina
1877,France,Argentina,Argentina
1878,Brazil,England,Brazil
1879,Spain,Argentina,Argentina
1880,France,Argentina,France
1881,Argentina,Portugal,Argentina
1882,France,Mexico,France
1883,France,Argentina,France
1884,France,Argentina,Argentina
1885,Spain,Argentina,Argentina
1886,Spain,Argentina,Argentina
1887,Spain,Brazil,Brazil
1888,France,Argentina,Argentina
1889,Spain,Argentina,Argentina
1890,Spain,Argentina,Argentina
1891,Germany,Spain,Spain
1892,France,Argentina,France
1893,France,Argentina,France
1894,France,Argentina,Argentina
1895,France,Argentina,France
1896,Spain,Brazil,Brazil
1897,France,Spain,France
1898,France,Argentina,Argentina
1899,Netherlands,Morocco,Netherlands
1900,Spain,Argentina,Argentina
1901,France,Portugal,France
1902,France,Portugal,France
1903,France,Argentina,France
1904,France,England,England
1905,Netherlands,Argentina,Argentina
1906,Spain,Croatia,Spain
1907,Spain,Brazil,Spain
1908,France,Argentina,France
1909,France,Brazil,France
1910,France,Argentina,Argentina
1911,France,Croatia,France
1912,Netherlands,Argentina,Netherlands
1913,France,Argentina,Argentina
1914,France,Argentina,France
1915,Belgium,England,Belgium
1916,Netherlands,Portugal,Portugal
1917,France,Argentina,Argentina
1918,Spain,Argentina,Argentina
1919,Brazil,Spain,Spain
1920,Spain,Argentina,Spain
1921,France,Croatia,France
1922,Netherlands,Argentina,Argentina
1923,Spain,Argentina,Argentina
1924,Spain,Argentina,Argentina
1925,Morocco,Argentina,Morocco
1926,England,Argentina,Argentina
1927,France,Argentina,France
1928,France,Argentina,Argentina
1929,France,Argentina,Argentina
1930,France,Brazil,Brazil
1931,France,Brazil,France
1932,Brazil,Argentina,Argentina
1933,Morocco,Spain,Morocco
1934,Argentina,Portugal,Argentina
1935,Spain,Argentina,Spain
1936,Morocco,England,England
1937,Spain,Argentina,Spain
1938,France,Argentina,Argentina
1939,France,Argentina,Argentina
1940,Spain,Argentina,Argentina
1941,France,Argentina,Argentina
1942,Uruguay,Argentina,Argentina
1943,France,Argentina,France
1944,Germany,Argentina,Argentina
1945,France,Argentina,Argentina
1946,Spain,Argentina,Argentina
1947,Spain,Mexico,Mexico
1948,France,England,England
1949,France,Argentina,Argentina
1950,France,Argentina,France
1951,France,Argentina,Argentina
1952,Croatia,Brazil,Croatia
1953,France,England,France
1954,France,Belgium,France
1955,France,Portugal,France
1956,France,Argentina,Argentina
1957,Spain,Argentina,Spain
1958,Argentina,Brazil,Argentina
1959,France,Brazil,France
1960,Spain,Argentina,Argentina
1961,Spain,Morocco,Spain
1962,France,England,France
1963,Spain,Argentina,Argentina
1964,Spain,Netherlands,Spain
1965,France,Argentina,France
1966,England,Argentina,Argentina
1967,Netherlands,Spain,Spain
1968,France,Portugal,France
1969,France,Portugal,France
1970,Belgium,Portugal,Belgium
1971,France,Argentina,France
1972,Spain,Brazil,Brazil
1973,Argentina,Germany,Germany
1974,Belgium,Argentina,Belgium
1975,France,England,France
1976,France,Argentina,France
1977,France,England,France
1978,England,Argentina,Argentina
1979,Spain,Argentina,Argentina
1980,Spain,Uruguay,Spain
1981,Netherlands,Argentina,Argentina
1982,Brazil,Argentina,Argentina
1983,Belgium,France,France
1984,France,Portugal,France
1985,France,Argentina,Argentina
1986,Spain,Argentina,Spain
1987,Spain,Argentina,Argentina
1988,Belgium,Argentina,Argentina
1989,Spain,Argentina,Argentina
1990,Spain,England,England
1991,Spain,England,Spain
1992,France,England,France
1993,Croatia,Argentina,Argentina
1994,Morocco,Argentina,Argentina
1995,France,England,France
1996,Netherlands,England,England
1997,Spain,Brazil,Spain
1998,Spain,Argentina,Argentina
1999,France,Argentina,France
